Michael W.	2.0
Sidny B D.	4.0
jen d.	2.0
Dana b.	2.0
Kathleen M.	5.0
Leslie T.	5.0
crystal v.	4.0
Rich D.	4.0
Linda M.	4.0
alex f.	4.0
Jim C.	3.0
Jeremy K.	5.0
Bonnie N.	5.0
Jeremy K.	4.0
Jeremy K.	5.0
Michael W.	5.0
Brent G.	4.0
Chi N.	4.0
Rich D.	4.0
Jaime L.	5.0
Katie R.	4.0
Cindy C.	3.0
Jaime L.	5.0
Michael W.	3.0
Janice T.	3.0
Jim C.	4.0
Will R.	5.0
Dana b.	3.0
Bing D.	3.0
Lisa F.	5.0
Michael W.	3.0
Meghan A.	1.0
Michael W.	4.0
Rebecca M.	3.0
Gladys M.	2.0
Ed R.	4.0
Cindy C.	3.0
Anthony L.	5.0
Michael W.	3.0
Jim C.	3.0
RandyCP U.	3.0
Clayton P.	5.0
Ryan T.	5.0
Matt D.	5.0
Katie B.	5.0
Jazz K.	4.0
Clayton P.	5.0
Jennifer F.	5.0
Julie B.	2.0
Superduperpooperscooper T.	4.0
Superduperpooperscooper T.	4.0
Carolynn T.	5.0
Anna Z.	4.0
Jennifer F.	5.0
Sue K.	4.0
Katrina T.	4.0
Katrina T.	4.0
Brian P.	5.0
Jennifer C.	3.0
Greg M.	3.0
Superduperpooperscooper T.	4.0
Julie B.	3.0
OIivia H.	4.0
Clayton P.	4.0
OIivia H.	2.0
Katrina T.	4.0
denise c.	2.0
Paul J.	5.0
Star M.	3.0
Kingsley M.	5.0
CarOline T.	5.0
Melissa M.	4.0
Tin-Tin M.	4.0
Alan A.	1.0
Clayton P.	5.0
Clayton P.	2.0
Clayton P.	3.0
Kayte M.	5.0
Clayton P.	4.0
Katrina T.	5.0
Emily H.	4.0
Amy W.	2.0
Kayte M.	3.0
Inara K.	5.0
Julie B.	2.0
Bryan C.	5.0
Katrina T.	4.0
Katrina T.	3.0
OIivia H.	5.0
Katrina T.	4.0
Kayte M.	2.0
hercule p.	2.0
Ken s.	5.0
Ashley G.	4.0
Katrina T.	3.0
Katrina T.	3.0
Marc C.	1.0
Vikki K.	4.0
Jane A.	4.0
Octous O.	4.0
Steve G.	4.0
Micaela M.	5.0
Vikki K.	5.0
Addy L.	1.0
Micaela M.	5.0
Ashley L.	3.0
Jeffrey N.	5.0
Raena S.	1.0
Anjelica M.	4.0
Steve F.	2.0
joseph c.	4.0
Stuart L.	3.0
Natalie M.	1.0
David E.	5.0
Julie M.	1.0
Debbie K.	5.0
Jackie D.	5.0
Scotty D.	2.0
Steve F.	4.0
Hatifa E.	5.0
Vikki K.	4.0
Micaela M.	5.0
Scotty D.	5.0
Yo U.	4.0
John P.	1.0
asmita j.	4.0
asmita j.	5.0
asmita j.	5.0
Ed L.	4.0
William B.	1.0
Kelly C.	4.0
Ed L.	3.0
Kelly C.	4.0
Esme V.	4.0
Ed L.	3.0
Ed L.	2.0
Ed L.	2.0
Ed L.	3.0
Johnson N.	5.0
Raj M.	4.0
Johnny R.	4.0
tammy s.	4.0
Linda M.	1.0
Joe B.	2.0
Cynthia L.	2.0
Jeremy T.	2.0
William B.	3.0
Johnson N.	2.0
Ed L.	3.0
William B.	3.0
Hannah S.	3.0
Karen L.	2.0
jenny s.	5.0
William B.	4.0
Lisa S.	5.0
Robert S.	4.0
Johnny R.	4.0
asmita j.	4.0
Molly K.	3.0
Denise L.	2.0
Julie L.	5.0
Jesle K.	4.0
William B.	3.0
William B.	3.0
Ed L.	3.0
L plus K C.	2.0
William B.	5.0
Jessica W.	5.0
asmita j.	2.0
William B.	3.0
William B.	3.0
Ed L.	3.0
William B.	5.0
William B.	2.0
Sparkely K.	4.0
Cat H.	5.0
Eileen Q.	4.0
RJ T.	5.0
Lusi F.	2.0
Angie C.	2.0
Eva H.	3.0
Palak K.	4.0
Angie C.	4.0
Stefani M.	1.0
Sparkely K.	4.0
Sparkely K.	5.0
Kim W.	5.0
Caroline S.	3.0
Mian G.	2.0
Angie C.	4.0
Tiffany W.	4.0
Palak K.	2.0
Sharon B.	5.0
Sparkely K.	5.0
Edward W.	3.0
Angie C.	4.0
Holly S.	5.0
Cat H.	4.0
Cat H.	5.0
Sparkely K.	2.0
Cat H.	5.0
Adrienne L.	2.0
Palak K.	5.0
Destry H.	5.0
Karen H.	4.0
Lusi F.	3.0
Gigirose A.	1.0
Pma e.	5.0
Tiffany W.	1.0
Angie C.	4.0
Jennifer L.	4.0
Vera C.	2.0
Palak K.	3.0
Idam T.	4.0
Brenda T.	5.0
Bob F.	2.0
Keith S.	3.0
Sherryl R.	4.0
Brian S.	5.0
Shreya G.	5.0
Chris K.	5.0
Palak K.	4.0
Eva H.	4.0
Sharon B.	3.0
Sparkely K.	5.0
Lusi F.	3.0
Kim W.	3.0
Sparkely K.	2.0
Sparkely K.	4.0
Scott S.	5.0
Amy L.	4.0
Lusi F.	5.0
Cindy A.	4.0
M L.	2.0
Carol Y.	3.0
Nick M.	5.0
Derek H.	5.0
Carolyn P.	4.0
Tanya S.	3.0
Katie S.	4.0
Yuzu K.	2.0
Ting W.	3.0
Natalie D.	3.0
Bin S.	4.0
Kelly H.	5.0
Annie P.	4.0
Brandon M.	2.0
Allanah S.	4.0
Veronica B.	3.0
Katie S.	4.0
Kelly H.	4.0
Brandon M.	3.0
Jennifer R.	5.0
S O.	1.0
Carolyn P.	2.0
Derek H.	5.0
Brandon M.	4.0
Derek H.	4.0
Brandon M.	5.0
angela h.	4.0
Derek H.	1.0
Ting W.	4.0
Brandon M.	2.0
Derek H.	5.0
Brandon M.	5.0
Brandon M.	3.0
Will W.	5.0
Peter W.	5.0
Brandon M.	4.0
Brandon M.	1.0
Derek H.	5.0
Derek H.	4.0
Dan M.	2.0
Ryo S.	4.0
Roshan V.	1.0
Jon T.	5.0
Jenny L.	3.0
Ruth C.	3.0
Meaghan B.	3.0
Ruth C.	1.0
Ruth C.	4.0
Ruth C.	5.0
CJ C.	2.0
Ruth C.	4.0
Ruth C.	4.0
Ryo S.	4.0
Ruth C.	1.0
Ruth C.	5.0
Elizabeth B.	1.0
Ruth C.	3.0
Ruth C.	5.0
susie s.	1.0
daniel p.	5.0
Mikeyla C.	4.0
Robert A.	5.0
Ruth C.	4.0
Slim Y.	4.0
Ruth C.	3.0
Anne A.	1.0
Jason C.	1.0
Ryo S.	3.0
Ruth C.	4.0
Kyle O.	3.0
Ruth C.	1.0
Ruth C.	4.0
Ashley W.	5.0
bernadette p.	3.0
Roshan V.	4.0
Ruth C.	2.0
Sophia S.	3.0
Meaghan B.	1.0
Roshan V.	5.0
Carol O.	4.0
Candace H.	4.0
L A.	2.0
Ceana K.	5.0
Vanessa K.	3.0
Chers S.	5.0
Lillian Z.	3.0
Michael B.	5.0
Claire O.	4.0
Harriet T.	4.0
Chris S.	5.0
Ceana K.	5.0
Ceana K.	4.0
Kristen C.	2.0
Claire O.	1.0
Lillian Z.	4.0
InHo K.	2.0
Lillian Z.	4.0
Christine S.	1.0
Edison T.	4.0
Lillian Z.	3.0
J R.	4.0
Ricky H.	4.0
Michele C.	4.0
Ceana K.	5.0
Lillian Z.	4.0
Jenna K.	5.0
Lillian Z.	3.0
va d.	5.0
Theresa L.	4.0
Edison T.	5.0
sherly A.	5.0
jing c.	4.0
MinnieMax P.	5.0
Kristine P.	4.0
Claire O.	4.0
Deanna N.	5.0
Lillian Z.	4.0
Joyce B.	3.0
Pam P.	3.0
Christina Y.	3.0
Lupe T.	3.0
Serina N.	5.0
pui-yun c.	4.0
Bryan Z.	5.0
Christina Y.	4.0
Pawriffic P.	2.0
David C.	5.0
Jessica B.	3.0
James D.	5.0
Dan B.	4.0
Christina Y.	2.0
Vivian H.	3.0
James D.	5.0
Sarah L.	5.0
Phuong H.	1.0
Christina Y.	4.0
Tito B.	1.0
Matt S.	5.0
ellelle l.	3.0
Brian D.	5.0
Kelly B.	4.0
Christina Y.	4.0
Ms S.	5.0
Ginni S.	4.0
Sabine R.	5.0
Michelle B.	3.0
Lupe T.	3.0
Carla L.	1.0
Brian D.	4.0
Helena Q.	4.0
Ginni S.	4.0
Jennifer L.	2.0
Dan B.	2.0
Jessica B.	5.0
Jim D.	4.0
A S.	3.0
Elena B.	4.0
Bill C.	2.0
Talia G.	5.0
Jennifer W.	4.0
Michelle C.	1.0
lisa m.	4.0
Bryan P.	5.0
Bill C.	3.0
David O.	2.0
Stan L.	4.0
Zara Q.	1.0
Liz E.	3.0
EB L.	3.0
Bill C.	1.0
Bill C.	5.0
Bill C.	4.0
lisa m.	5.0
Bill C.	2.0
Ginny M.	3.0
Cathy P.	5.0
J Q.	4.0
Holly W.	1.0
nino l.	1.0
David W.	5.0
Jeremiah O.	4.0
Brian L.	5.0
Sanjay R.	5.0
Tingting H.	4.0
aeri k.	4.0
Bill C.	5.0
Bill C.	5.0
Thyra P.	4.0
Catherine U.	1.0
Jared S.	5.0
Alexander K.	4.0
Samy L.	3.0
Michelle L.	4.0
Bonnie S.	2.0
Jennifer W.	3.0
Melanie D.	1.0
Allison C.	5.0
Jennifer F.	2.0
D.J. T.	2.0
Miss W.	2.0
Kenny Y.	2.0
Brenda S.	4.0
Red Tail H.	3.0
pjk r.	2.0
Eeway H.	4.0
L B.	3.0
Miwako W.	5.0
Beth V.	4.0
Britt P.	4.0
Masuma M.	2.0
Sally L.	3.0
Sheeva G.	4.0
Miwako W.	3.0
Brian C.	2.0
Eri H.	4.0
alicia c.	5.0
Caitlin H.	5.0
L B.	1.0
Mary B.	2.0
Mary B.	1.0
L B.	5.0
mike r.	5.0
Sarah Z.	3.0
Jenn N.	4.0
Tiffany N.	5.0
Jenny K.	4.0
Paul M.	4.0
Janet N.	3.0
Ian G.	5.0
Jenny C.	4.0
Eri H.	3.0
Mary B.	1.0
Jess R.	2.0
Sheeva G.	3.0
Chanel L.	5.0
Miwako W.	2.0
Sandi H.	5.0
Greg B.	5.0
Sherri C.	4.0
Greg B.	4.0
Greg B.	4.0
Sherri C.	5.0
Courtney R.	4.0
Greg B.	5.0
Sherri C.	2.0
T. K.	5.0
Heather O.	2.0
Chugher X.	3.0
Karen N.	3.0
Greg B.	2.0
Greg B.	3.0
Saira A.	3.0
Hussam B.	4.0
Greg B.	5.0
Shan C.	5.0
Greg B.	2.0
Greg B.	5.0
I T.	2.0
Courtney R.	3.0
Priya R.	2.0
Diana C.	4.0
sunnyside m.	1.0
Greg B.	2.0
Anthony H.	2.0
gwen p.	2.0
Diana C.	3.0
Christopher G.	5.0
Lewis N.	4.0
Jackie D.	3.0
Greg B.	3.0
Bryan I.	2.0
Mary M.	4.0
Greg B.	1.0
Greg B.	3.0
Vanessa N.	5.0
Brianna H.	4.0
Roger W.	2.0
John H.	5.0
C. L.	4.0
Christine V.	5.0
Lolia S.	4.0
Jessica R.	3.0
Lolia S.	3.0
Kristen D.	3.0
J G.	2.0
Ruth R.	2.0
Vanisi L.	5.0
Brian I.	4.0
Christine V.	5.0
Christine V.	4.0
Tashy P.	3.0
Joseph C.	5.0
Susan N.	4.0
Geert V.	5.0
Lolia S.	4.0
Penelope B.	1.0
Helen T.	1.0
Alex H.	1.0
Alex H.	1.0
C. L.	5.0
Sheila M.	5.0
Lolia S.	5.0
vicky t.	5.0
Alice C.	3.0
Sophia W.	4.0
Lolia S.	4.0
Christine V.	2.0
Alex H.	4.0
Katherine L.	3.0
Penelope B.	3.0
Keri K.	5.0
case l.	4.0
Sam A.	5.0
Lolia S.	3.0
Renae H.	1.0
April T.	4.0
Renae H.	5.0
Oanh N.	4.0
Lynn D.	5.0
Brent I.	3.0
Renae H.	4.0
Renae H.	4.0
Renae H.	4.0
Matthew G.	5.0
Philip S.	5.0
Angela L.	3.0
Johnny T.	5.0
Renae H.	2.0
Renae H.	3.0
Jordan A.	5.0
Kelly H.	4.0
Brent I.	4.0
Renae H.	4.0
Mike L.	2.0
Al K.	5.0
Samuel L.	5.0
Ruobin W.	4.0
Ben S.	5.0
Renae H.	4.0
April T.	3.0
Diana C.	5.0
Matt L.	2.0
Renae H.	4.0
Ruobin W.	4.0
Renae H.	5.0
Eugenia H.	3.0
April T.	2.0
Daniel M.	4.0
Eric W.	2.0
Eugenia H.	5.0
April T.	1.0
April T.	4.0
April T.	2.0
Way C.	4.0
Brent I.	4.0
Jasbir Roberto R.	4.0
Jen L.	5.0
Vivian W.	4.0
Nancy L.	3.0
Mary A.	1.0
Monica B.	2.0
Vivian W.	3.0
Susan L.	1.0
daisy d.	2.0
Kathy W.	3.0
karen n.	5.0
Nicole Rynee B.	5.0
Shel D.	4.0
Nicole Rynee B.	5.0
Allen W.	5.0
Shel D.	5.0
Marty L.	4.0
Louisa T.	5.0
Regina C.	4.0
Bethany P.	4.0
Lila M.	5.0
Amber L.	3.0
Andrew H.	1.0
Aim M.	5.0
Vivian W.	4.0
Bethany P.	4.0
daisy d.	4.0
Nicole Rynee B.	4.0
lani p.	3.0
Mariel D.	4.0
Arlene M.	3.0
Veronica T.	3.0
Jessica H.	5.0
Kitty S.	5.0
Betty N.	3.0
May N.	5.0
Tony L.	5.0
Carson H.	5.0
Betty N.	2.0
Adele P.	4.0
May N.	5.0
ellen s.	4.0
Robbie B.	4.0
Kristen C.	4.0
Jay H.	1.0
Betty N.	5.0
Tai N.	4.0
Carson H.	4.0
Giovanni T.	5.0
David G.	5.0
L.L. M.	1.0
Scott C.	1.0
Marina F.	5.0
Carson H.	3.0
May N.	2.0
Katie P.	2.0
Nidhi J.	4.0
Sandee L.	3.0
Anne S.	2.0
Carson H.	5.0
kat g.	2.0
Betty N.	3.0
Carson H.	4.0
Kelly M.	1.0
Priyanka S.	1.0
Patricia J.	5.0
Kim M.	5.0
Sylvia L.	4.0
Jay H.	2.0
Jay H.	1.0
Jane A.	3.0
